Model_number	Min_Scale_V	Max_Scale_V	Mean_Scale_V	RMS_Scale_V	Min	Max	Mean	RMS	Min_Scale_tt	Max_Scale_tt	Mean_Scale_tt	RMS_Scale_tt	Min_Scale_tr	Max_Scale_tr	Mean_Scale_tr	RMS_Scale_tr
117	-0.175934402456	0.320022187121	-0.00143701022305	0.0434879222688	-46.1827806448	84.0058241192	-0.37721518355	11.4155795956	-0.200887330337	0.232708520001	-0.000384963042843	0.0405252905502	-0.142311145788	0.253743453483	2.75559385995e-15	0.0357796501964
16	-0.191199930218	0.26716323544	-0.00206163825944	0.0417990840542	-50.1899816823	70.130349303	-0.541180043104	10.9722595642	-0.208978380856	0.212677157539	5.95310385504e-05	0.0399359320593	-0.168318285427	0.272343838595	1.15643470913e-15	0.03937949779
205	-0.341755301597	0.596045066742	-0.00206949022005	0.047310708385	-89.7107666692	156.46183002	-0.543241182763	12.4190609511	-0.235662264907	0.217624387446	-0.000468395171387	0.043693719922	-0.132924384573	0.255782286572	1.1784277099e-15	0.0331804134144
300	-0.185486387905	0.231252347825	-0.00207654417118	0.0437553619318	-48.6901768251	60.703741304	-0.545092844934	11.4857825071	-0.239955268479	0.180876976902	-4.30686569546e-05	0.0414167634654	-0.143983137212	0.222577051249	1.12082378192e-15	0.0353831797189
24	-9.3636161649	0.295352021601	-0.00597277106932	0.18286574179	-2457.94924329	77.5299056703	-1.5678524057	48.0022572199	-0.210826082708	0.208836730203	0.000153867418545	0.0413897257541	-0.167492467685	0.233674142543	-6.35267837318e-16	0.03547039569
88	-87.2867455116	0.342780839666	-0.030064224264	1.55648521597	-22912.7706968	89.9799704124	-7.8918588693	408.577369193	-0.276551292283	0.210250100493	0.000182620249951	0.043847076214	-0.156592463076	0.22030071709	1.48308641272e-15	0.0330342001324
259	-0.324666291543	0.235317885235	-0.00183670294321	0.0457896440202	-85.2249015301	61.7709448742	-0.482134522594	12.0197815553	-0.261440123641	0.223981069077	6.06817465584e-05	0.0444331816996	-0.137596915928	0.218724160102	-5.90381247479e-17	0.0325385338624
278	-0.279507606431	0.393122971997	-0.00226534994859	0.0482624592692	-73.3707466881	103.194780149	-0.594654361504	12.6688955582	-0.244977277009	0.423049274535	-0.000689262411147	0.0451835288459	-0.141455216832	0.210927192028	9.7237350628e-16	0.0313473323812
80	-0.291534810919	0.279490554484	-0.0017911462491	0.0476922947383	-76.5278878662	73.3662705521	-0.470175890389	12.5192273688	-0.236544652859	0.254872719527	-0.000872580606872	0.0461010811274	-0.117674911048	0.228529152551	-5.11313563118e-15	0.0311139808094
95	-0.181436161293	0.255112439033	-0.00142477073429	0.0430898874069	-47.6269923394	66.9670152463	-0.374002317752	11.3110954443	-0.217002760083	0.20911717147	8.68817270241e-05	0.0406173328336	-0.178571058543	0.226752376073	-2.122988114e-16	0.0377393368423
35	-0.194391302896	0.293317690594	-0.0014017333276	0.0429034775275	-51.0277170102	76.9958937809	-0.367954998496	11.262162851	-0.196266560535	0.21994983272	0.00070669991495	0.0406507333583	-0.16730951778	0.278568994278	-7.00665622974e-16	0.0413998309656
74	-0.642899305602	0.294417390441	-0.0015228098729	0.0499249313615	-168.76106772	77.2845649907	-0.399737591637	13.1052944824	-0.353652623336	0.523413432195	0.000625208584898	0.0479393042246	-0.144792700719	0.226969528889	-1.55703383609e-15	0.0312756704939
